Year,Population,% Increase in Population,Population Density,% Increase in Population Density,Urban Population,Urban Population % of Total Population,% Increase in Urban Population,Rural Population,Rural Population % of Total Population,% Change in Rural Population,Life Expectancy,% Increase in Life Expectancy,Birth Rate,% Change in Birth Rate,Death Rate,% Change in Death Rate,Infant Mortality Rate,% Change in Infant Mortality Rate,Fertility Rate,% Change in Fertility Rate,Net Migration Rate,% Change in Net Migration Rate
1950,"54,39,79,233",0.00%,56.66,0.00%,Null,Null,Null,Null,Null,Null,43.45,0.00%,46.133,0.00%,23.366,0.00%,127.573,0.00%,6.488,0.00%,-0.129,0.00%
1951,"55,36,13,988",1.77%,57.67,1.77%,Null,Null,Null,Null,Null,Null,43.57,0.29%,44.921,-2.63%,23.106,-1.11%,128.008,0.34%,6.362,-1.94%,-0.116,-10.08%
1952,"56,49,54,522",2.05%,58.85,2.05%,Null,Null,Null,Null,Null,Null,43.7,0.29%,43.71,-2.70%,22.845,-1.13%,128.443,0.34%,6.236,-1.98%,-0.102,-12.07%
1953,"57,73,78,682",2.20%,60.14,2.20%,Null,Null,Null,Null,Null,Null,43.83,0.29%,42.498,-2.77%,22.585,-1.14%,128.878,0.34%,6.11,-2.02%,-0.088,-13.73%
1954,"58,99,36,004",2.17%,61.45,2.17%,Null,Null,Null,Null,Null,Null,43.96,0.29%,41.286,-2.85%,22.325,-1.15%,129.313,0.34%,5.984,-2.06%,-0.074,-15.91%
1955,"60,33,20,147",2.27%,62.85,2.27%,Null,Null,Null,Null,Null,Null,44.09,0.29%,40.075,-2.93%,22.064,-1.17%,129.748,0.34%,5.858,-2.11%,-0.06,-18.92%
1956,"61,62,83,022",2.15%,64.2,2.15%,Null,Null,Null,Null,Null,Null,44.21,0.29%,38.863,-3.02%,21.804,-1.18%,130.183,0.34%,5.732,-2.15%,-0.047,-21.67%
1957,"63,00,03,025",2.23%,65.63,2.23%,Null,Null,Null,Null,Null,Null,44.34,0.29%,37.652,-3.12%,21.543,-1.20%,130.618,0.33%,5.606,-2.20%,-0.033,-29.79%
1958,"64,37,91,581",2.19%,67.06,2.19%,Null,Null,Null,Null,Null,Null,44.47,0.29%,36.44,-3.22%,21.283,-1.21%,131.053,0.33%,5.48,-2.25%,-0.019,-42.42%
1959,"65,21,79,194",1.30%,67.94,1.30%,Null,Null,Null,Null,Null,Null,44.49,0.04%,37.034,1.63%,21.157,-0.59%,131.85,0.61%,5.614,2.45%,-0.08,321.05%
1960,"65,41,70,692",0.31%,68.14,0.31%,"10,80,85,352",16.2,0.00%,"55,89,84,648",83.8,0.00%,44.5,0.04%,37.629,1.61%,21.031,-0.60%,132.647,0.60%,5.748,2.39%,-0.141,76.25%
1961,"65,52,60,380",0.17%,68.26,0.17%,"11,03,27,936",16.71,2.05%,"55,00,02,064",83.29,-1.62%,44.52,0.04%,38.223,1.58%,20.905,-0.60%,133.444,0.60%,5.882,2.33%,-0.203,43.97%
1962,"66,46,14,650",1.43%,69.23,1.43%,"11,46,85,540",17.23,3.87%,"55,10,84,460",82.77,0.20%,44.53,0.04%,38.818,1.56%,20.779,-0.60%,134.241,0.60%,6.016,2.28%,-0.264,30.05%
1963,"68,39,03,557",2.90%,71.24,2.90%,"12,11,62,226",17.76,5.49%,"56,11,72,774",82.24,1.81%,44.55,0.04%,39.412,1.53%,20.653,-0.61%,135.038,0.59%,6.15,2.23%,-0.325,23.11%
1964,"70,45,93,772",3.03%,73.4,3.03%,"12,77,91,981",18.3,5.33%,"57,05,63,019",81.7,1.66%,46.73,4.90%,39.427,0.04%,19.082,-7.61%,126.795,-6.10%,6.18,0.49%,-0.268,-17.54%
1965,"72,38,46,349",2.73%,75.4,2.73%,"12,93,48,359",18.09,1.21%,"58,58,36,641",81.91,2.64%,48.92,4.67%,39.442,0.04%,17.511,-8.23%,118.552,-6.50%,6.21,0.49%,-0.211,-21.27%
1966,"74,29,48,541",2.64%,77.39,2.64%,"13,17,46,910",17.92,1.84%,"60,36,53,090",82.09,3.00%,51.1,4.46%,39.458,0.04%,15.941,-8.97%,110.31,-6.95%,6.24,0.48%,-0.155,-26.54%
1967,"76,10,06,260",2.43%,79.27,2.43%,"13,41,96,718",17.79,1.84%,"62,03,53,282",82.22,2.73%,53.29,4.27%,39.473,0.04%,14.37,-9.86%,102.067,-7.47%,6.27,0.48%,-0.098,-36.77%
